inicio,fim,quantidade,probabilidade_media,frequencia_observada,conjunto,modo,versao
0.7,0.8,222,0.7486167123873874,0.7027027027027027,teste,sem_alvo,v2
0.8,0.9,137,0.8413559585766422,0.8321167883211679,teste,sem_alvo,v2
0.9,1.0,33,0.9512603553030302,0.9393939393939394,teste,sem_alvo,v2
0.0,0.1,2336,0.04375220026398397,0.0,producao,rotulado,v1
0.1,0.2,417,0.14218137326139085,0.0,producao,rotulado,v1
0.2,0.3,144,0.23757424629629625,0.013888888888888888,producao,rotulado,v1
0.3,0.4,67,0.34965693880597015,0.029850746268656716,producao,rotulado,v1
0.4,0.5,65,0.4600265202564103,0.12307692307692308,producao,rotulado,v1
0.5,0.6,136,0.5527394427696078,0.15441176470588236,producao,rotulado,v1
0.6,0.7,131,0.6386937998727735,0.2595419847328244,producao,rotulado,v1
0.7,0.8,274,0.757882923296837,0.30656934306569344,producao,rotulado,v1
0.8,0.9,234,0.8464177314814816,0.6153846153846154,producao,rotulado,v1
0.9,1.0,396,0.9429935542508416,0.7676767676767676,producao,rotulado,v1
0.0,0.1,2612,0.022609736155245003,0.0,producao,rotulado,v2
0.1,0.2,221,0.1505186272624434,0.02262443438914027,producao,rotulado,v2
0.2,0.3,174,0.24437654195402297,0.13793103448275862,producao,rotulado,v2
0.3,0.4,114,0.35500949978070173,0.37719298245614036,producao,rotulado,v2
0.4,0.5,111,0.45531885191441446,0.22522522522522523,producao,rotulado,v2
0.5,0.6,225,0.5514339190555556,0.3288888888888889,producao,rotulado,v2
0.6,0.7,176,0.6453644232954545,0.4090909090909091,producao,rotulado,v2
0.7,0.8,173,0.7530839203757227,0.4161849710982659,producao,rotulado,v2
0.8,0.9,263,0.8520938750000001,0.6197718631178707,producao,rotulado,v2
0.9,1.0,131,0.9290304977099237,0.9236641221374046,producao,rotulado,v2
0.0,0.1,1934,0.03928023273871075,0.0,producao,sem_alvo,v1
0.1,0.2,576,0.1367428602719907,0.005208333333333333,producao,sem_alvo,v1
0.2,0.3,181,0.24066288876611414,0.022099447513812154,producao,sem_alvo,v1
0.3,0.4,88,0.3518888564393939,0.09090909090909091,producao,sem_alvo,v1
0.4,0.5,121,0.4502783158402203,0.1487603305785124,producao,sem_alvo,v1
0.5,0.6,131,0.5516627309160305,0.2366412213740458,producao,sem_alvo,v1
0.6,0.7,199,0.6552172141541038,0.38190954773869346,producao,sem_alvo,v1
0.7,0.8,270,0.7556493670987654,0.32222222222222224,producao,sem_alvo,v1
0.8,0.9,424,0.8519641702830187,0.3891509433962264,producao,sem_alvo,v1
0.9,1.0,276,0.9365451853260868,0.75,producao,sem_alvo,v1
0.0,0.1,2588,0.022966325328438928,0.0038639876352395673,producao,sem_alvo,v2
0.1,0.2,268,0.14714582980410443,0.09701492537313433,producao,sem_alvo,v2
0.2,0.3,156,0.2456655719551282,0.17307692307692307,producao,sem_alvo,v2
0.3,0.4,112,0.3538001229910714,0.3125,producao,sem_alvo,v2
0.4,0.5,150,0.45572287166666664,0.26,producao,sem_alvo,v2
0.5,0.6,259,0.5523687522200773,0.3127413127413127,producao,sem_alvo,v2
0.6,0.7,187,0.6486583072860963,0.42780748663101603,producao,sem_alvo,v2
0.7,0.8,219,0.7510834896118722,0.54337899543379,producao,sem_alvo,v2
0.8,0.9,191,0.8441060583115183,0.6178010471204188,producao,sem_alvo,v2
0.9,1.0,70,0.9271869953571429,0.9142857142857143,producao,sem_alvo,v2
